"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2014.MMP1039,2014.MMP1039,Mediterranean,"Mon, 10/27/2014 - 12:00",2014,October,,2,2,,,1,,"Western Asia",Drowning,"State of Palestine","Unspecified location in the Aegean Sea between Turkey and Greece",rd.nl,"38.74477, 26.486067","Eastern Mediterranean",https://archive.vn/r6I7Q,Uncategorized,1
2014.MMP1039,2014.MMP1039310,Mediterranean,"Mon, 10/27/2014 - 12:00",2014,October,,1,1,,,,,"Northern Africa",Drowning,Sudan,"Unspecified location in the Aegean Sea between Turkey and Greece",rd.nl,"38.74477, 26.486067","Eastern Mediterranean",https://archive.vn/r6I7Q,Uncategorized,1
2014.MMP00001,2014.MMP00001,"North America","Mon, 01/06/2014 - 12:00",2014,January,1,,1,,,1,,"Central America","Mixed or unknown",Guatemala,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.650259, -110.366453","US-Mexico border crossing",http://humaneborders.info/,"Northern America",5
2014.MMP00002,2014.MMP00002,"North America","Sun, 01/12/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.59713, -111.73756","US-Mexico border crossing",,"Northern America",5
2014.MMP00003,2014.MMP00003,"North America","Tue, 01/14/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.94026, -113.01125","US-Mexico border crossing",,"Northern America",5
2014.MMP00004,2014.MMP00004,"North America","Thu, 01/16/2014 - 12:00",2014,January,1,,1,,,1,,"Central America",Violence,Mexico,"near Douglas, Arizona, USA","Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)","31.506777, -109.315632","US-Mexico border crossing",http://bit.ly/1qfIw00,"Northern America",5
2014.MMP00005,2014.MMP00005,Europe,"Thu, 01/16/2014 - 12:00",2014,January,1,0,1,2,,1,,"Northern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,"Border between Russia and Estonia","EUBusiness (Agence France-Presse)","59.1551, 28",,http://bit.ly/1rTFTjR,"Northern Europe",1
2014.MMP00006,2014.MMP00006,"North America","Fri, 01/17/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)",Violence,Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.45435, -113.18402","US-Mexico border crossing",,"Northern America",5
2014.MMP00007,2014.MMP00007,Mediterranean,"Sun, 01/19/2014 - 12:00",2014,January,12,,12,,9,,3,Unknown,Drowning,"Afghanistan, Syrian Arab Republic","Waters near Greece while being towed back to Turkey","European Council on Refugees and Exiles","37.2832, 27","Eastern Mediterranean",http://bit.ly/2aMCwfg,Uncategorized,5
2014.MMP00008,2014.MMP00008,"North America","Wed, 01/22/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.478317, -113.182833","US-Mexico border crossing",,"Northern America",5
2014.MMP00009,2014.MMP00009,"North America","Fri, 01/24/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.81154, -111.01101","US-Mexico border crossing",,"Northern America",5
2014.MMP00010,2014.MMP00010,"North America","Fri, 01/24/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.174017, -112.174583","US-Mexico border crossing",,"Northern America",5
2014.MMP00011,2014.MMP00011,"North America","Sat, 01/25/2014 - 12:00",2014,January,1,,1,,,1,,"Central America","Mixed or unknown",Mexico,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.40291, -113.02935","US-Mexico border crossing",,"Northern America",5
2014.MMP00012,2014.MMP00012,"North America","Tue, 01/28/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.159, -112.919","US-Mexico border crossing",,"Northern America",5
2014.MMP00013,2014.MMP00013,"North America","Wed, 01/29/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.481483, -111.654933","US-Mexico border crossing",,"Northern America",5
2014.MMP00014,2014.MMP00014,"North America","Wed, 01/29/2014 - 12:00",2014,January,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.481683, -111.654933","US-Mexico border crossing",,"Northern America",5
2014.MMP00015,2014.MMP00015,Europe,"Thu, 01/30/2014 - 12:00",2014,January,1,0,1,2,,1,1,"Southern Asia","Vehicle accident / death linked to hazardous transport","Iran (Islamic Republic of)","France - Calais","Calais Migrant Solidarity","50.9355, 2","English Channel to the UK",http://bit.ly/1icTIF9,"Western Europe",4
2014.MMP00016,2014.MMP00016,Caribbean,"Thu, 01/30/2014 - 12:00",2014,January,1,,1,,,1,1,Caribbean,Drowning,Haiti,"Off the coast of Fort Lauderdale, Florida",Local10.com,"26.116, -80","Caribbean to US",http://bit.ly/1zU2LSq,Caribbean,1
2014.MMP00017,2014.MMP00017,"South-eastern Asia","Sun, 02/02/2014 - 12:00",2014,February,5,,5,500,,5,,"South-eastern Asia","Sickness / lack of access to adequate healthcare",Myanmar,"Hat Yai hospital, 182 Ratthakan, Hat Yai, Hat Yai District, Songkhla 90110","Manager Online","7.0167471, 100.4674982",,https://archive.vn/fHipt,"South-eastern Asia",1
2014.MMP00018,2014.MMP00018,Mediterranean,"Thu, 02/06/2014 - 12:00",2014,February,15,0,15,0,,1,,Unknown,Violence,"Cameroon, Unknown","Ceuta waters",L'Espresso,"35.8793, -5","Western Mediterranean","http://bit.ly/U4b8wu, http://bit.ly/2kyBK8g, http://bit.ly/2kzHPRO",Uncategorized,1
2014.MMP00019,2014.MMP00019,"North America","Tue, 02/11/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.8054, -111.854867","US-Mexico border crossing",,"Northern America",5
2014.MMP00020,2014.MMP00020,"North America","Sun, 02/16/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.992833, -111.385833","US-Mexico border crossing",,"Northern America",5
2014.MMP00021,2014.MMP00021,"North America","Sun, 02/16/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.17305, -112.20211","US-Mexico border crossing",,"Northern America",5
2014.MMP00022,2014.MMP00022,Mediterranean,"Mon, 02/17/2014 - 12:00",2014,February,2,0,2,121,,2,,"Eastern Africa","Mixed or unknown",Somalia,"Italy waters","Malta Today","34.5645, 16","Central Mediterranean",http://bit.ly/V7JIqE,Uncategorized,1
2014.MMP00023,2014.MMP00023,"North America","Mon, 02/17/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.00768, -112.1726","US-Mexico border crossing",,"Northern America",5
2014.MMP00024,2014.MMP00024,"North America","Tue, 02/18/2014 - 12:00",2014,February,1,,1,2,,1,,"Central America",Violence,Mexico,"California-Mexico border near San Diego, California, USA",CNN,"32.5543, -117.052","US-Mexico border crossing",http://cnn.it/1jGgOUo,"Northern America",1
2014.MMP00025,2014.MMP00025,Caribbean,"Thu, 02/20/2014 - 12:00",2014,February,8,0,8,0,,,,Caribbean,Drowning,Haiti,"Dominican Republic",AP,"18.4505, -68","Haiti to Dominican Republic",http://bit.ly/1sWDTeE,Caribbean,1
2014.MMP00026,2014.MMP00026,"North America","Thu, 02/20/2014 - 12:00",2014,February,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.82214, -111.96383","US-Mexico border crossing",,"Northern America",5
2014.MMP00027,2014.MMP00027,"North America","Fri, 02/21/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.08795, -112.58407","US-Mexico border crossing",,"Northern America",5
2014.MMP00028,2014.MMP00028,"North America","Tue, 02/25/2014 - 12:00",2014,February,1,,1,,,,,"Latin America / Caribbean (P)","Mixed or unknown",Unknown,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","32.0885, -112.44956","US-Mexico border crossing",,"Northern America",5
2014.MMP00029,2014.MMP00029,"Southern Asia","Wed, 02/26/2014 - 12:00",2014,February,1,0,1,0,,1,,"Southern Asia",Violence,Bangladesh,India,"Daily Star","25.1841, 89",,http://bit.ly/1vs5kco,"Southern Asia",1
2014.MMP00030,2014.MMP00030,"Eastern Africa","Wed, 02/26/2014 - 12:00",2014,February,11,6,17,0,,,,"Eastern Africa",Drowning,Ethiopia,"Gulf of Aden off the coast of Djibouti - EHOA-Yemen crossing",IOM,"20.2802, 39","Eastern Route to/from EHOA",http://bit.ly/1pTfmSe,Uncategorized,4
2014.MMP00031,2014.MMP00031,Mediterranean,"Thu, 02/27/2014 - 12:00",2014,February,7,,7,,,,,"Eastern Africa",Violence,Somalia,"Libyan Coast","Libya herald","33.1597, 15","Central Mediterranean",http://bit.ly/1lvR4Ka,Uncategorized,1
2014.MMP00032,2014.MMP00032,"North America","Tue, 03/04/2014 - 12:00",2014,March,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","31.759, -110.51916","US-Mexico border crossing",http://humaneborders.info/,"Northern America",5
2014.MMP00033,2014.MMP00033,Europe,"Sun, 03/09/2014 - 12:00",2014,March,1,0,1,0,,1,,Europe,Violence,Albania,"France - Calais (Killed on motorway)","La Voix du Nord, Daily Mail UK","50.9365, 2","English Channel to the UK","https://archive.vn/USuIs, http://dailym.ai/1iYPbax","Western Europe",1
